res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
6,881f89a1a7fffff,84600000,21600000,4368,2025,412206.0,334356.0
6,881f89a1b9fffff,84600000,21600000,4340,2011,419813.0,335443.0
6,881f89a1e9fffff,84600000,21600000,4403,1997,424429.0,333664.0
6,881f89a8dbfffff,84600000,21600000,2148,7245,218421.0,3.287125e6
6,881f89aa8dfffff,84600000,21600000,2227,7233,211418.0,3.279796e6
6,881f89aaabfffff,84600000,21600000,4347,2015,411046.0,333844.0
6,881f89aac1fffff,84600000,21600000,2260,7205,223276.0,3.279104e6
6,881f89aadbfffff,84600000,21600000,4378,1996,423289.0,333695.0
6,881f89ae6dfffff,84600000,21600000,2174,7245,219839.0,3.286947e6
6,881f89af11fffff,84600000,21600000,2582,728,313991.0,115985.0
6,881f89af29fffff,84600000,21600000,4378,1996,423289.0,333695.0
6,881f89af47fffff,84600000,21600000,4343,2024,411066.0,334387.0
6,881f89af5bfffff,84600000,21600000,2176,7255,219605.0,3.287637e6
6,881f89af6dfffff,84600000,21600000,4347,2015,411046.0,333844.0
