city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89a8cbfffff,2.652592e6,6.02036e6,3.367768e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa8bfffff,2.652592e6,6.02036e6,3.367768e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89af59fffff,2.655025e6,6.021639e6,3.366614e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b1fffff,3.357121e6,1.723575e6,-1.633546e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89af43fffff,3.357121e6,1.735548e6,-1.621573e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1bdfffff,3.35746e6,1.748644e6,-1.608816e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b7fffff,3.357121e6,1.752537e6,-1.604584e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89af09fffff,3.309464e6,1.740397e6,-1.569067e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b5fffff,3.357121e6,1.899392e6,-1.457729e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89af49fffff,3.357121e6,1.907038e6,-1.450083e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1a3fffff,3.357121e6,1.9111e6,-1.446021e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae61fffff,2.6204e6,1.256908e6,-1.363492e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae69fffff,2.621612e6,1.263857e6,-1.357755e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b7fffff,3.357121e6,1.722163e6,-1.634958e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b1fffff,3.357121e6,1.723441e6,-1.63368e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89af43fffff,3.357121e6,1.735414e6,-1.621707e6
