"c","probe","company"
4274,"1970-01-02 08:10:00.000","ter"
15645,"1970-01-02 08:10:00.000","uk"
61729,"1970-01-02 08:10:00.000","swiss"
386,"1970-01-02 08:10:00.000","intercites"
395,"1970-01-02 08:15:00.000","intercites"
2705,"1970-01-02 08:15:00.000","sncb"
16020,"1970-01-02 08:15:00.000","uk"
4158,"1970-01-02 08:15:00.000","ter"
61216,"1970-01-02 08:15:00.000","swiss"
2488,"1970-01-02 08:15:00.000","tgv"
403,"1970-01-02 08:20:00.000","intercites"
2719,"1970-01-02 08:20:00.000","sncb"
62456,"1970-01-02 08:20:00.000","swiss"
