"start_lat","start_lon","finish_lat","finish_lon","speed","count"
10.966,78.085,11.069,78.14,48.0161656242762,8
47.461,17.315,47.522,17.316,50.95798823501352,10
51.763,7.737,51.799,7.734,79.8739994109423,45
45.259,1.473,45.441,1.57,86.29161357850336,3
51.486,4.735,51.596,4.78,108.10812407081198,253
64.338,28.115,64.401,27.822,72.66635527834316,4
51.099,4.241,51.126,4.221,65.51024094387449,119
45.522,9.088,45.525,8.996,61.734652656497204,1
53.833,-1.773,53.838,-1.79,38.16354667539341,363
49.78,6.683,49.792,6.683,78.54803751653235,96
50.149,14.519,50.18,14.528,61.02814633560207,49
50.74,15.094,50.744,15.081,58.42426688018895,24
47.28,7.38,47.284,7.422,64.421615704124,47
20.644,82.752,20.809,82.562,80.50261723875016,8
-26.321,152.784,-26.159,152.683,72.48366234762175,12
48.576,7.801,48.877,2.359,191.32887772078382,1
49.62,11.235,49.629,11.25,44.67178113497296,43
47.386,15.09,47.55,14.312,92.04669337093316,12
49.523,5.892,49.554,5.879,43.82676576569297,221
50.862,6.188,50.868,6.167,48.26161506360496,39
51.166,7.089,51.177,7.2,47.363125202188186,4
13.234,78.143,13.269,78.17,58.151327246140085,4
8.886,76.597,9.031,76.601,74.84380433619485,27
50.854,-0.967,50.855,-0.982,31.613397333499275,323
45.606,9.62,45.69,9.675,77.61133497961907,61
25.224,75.881,27.237,77.488,89.04639066824318,2
50.841,4.348,50.846,4.357,48.346543974998276,5206
46.719,20.718,46.751,20.721,53.89222375953812,19
48.785,9.183,48.993,8.402,71.33813841354176,3
30.21,74.932,30.319,74.909,65.70132052722259,22
49.445,11.083,50.943,6.959,67.68294920162927,1
49.89,15.477,49.894,15.49,17.32830924346424,24
-33.769,150.621,-33.744,150.61,46.20665764516979,285
56.537,27.151,56.561,26.939,72.78995977568002,4
52.237,13.437,52.326,13.42,62.21703619992616,4
49.947,13.363,49.972,13.346,44.7939001457011,28
42.841,-5.507,42.85,-5.487,29.11449231232512,13
36.373,140.617,36.378,140.618,36.01322973372572,58
53.358,-2.889,53.361,-2.855,45.20847885135562,100
22.137,80.124,22.226,80.12,58.84170622657493,4
20.816,78.883,21.116,79.079,83.03294961428115,6
35.699,140.552,35.722,140.655,72.27403933105572,9
48.347,7.111,48.408,7.165,58.872048583817275,34
45.642,15.323,45.649,15.336,37.26643443661004,4
16.068,80.557,16.157,80.586,77.34361785124683,5
49.805,9.885,49.83,9.876,88.15705152252838,102
40.058,-75.195,40.066,-75.204,74.50133515553895,42
40.842,14.3,40.846,14.287,47.34972706160121,134
48.276,9.163,48.29,9.112,61.48099632629462,10
51.751,14.323,51.758,14.25,76.65534036659997,237
48.041,11.199,48.061,11.207,67.62829898511086,8
22.473,88.094,22.584,88.284,72.35403988827385,20
44.706,2.2,44.856,2.235,46.15428166731687,21
38.96,16.285,38.967,16.32,62.9631797705977,38
47.301,11.201,47.329,11.19,48.22601549346218,32
50.196,9.189,50.254,9.296,98.9220203921024,2
53.452,-2.085,53.475,-2.113,31.366816365987685,1
50.943,6.958,51.901,6.138,69.75452725072213,14
50.081,14.28,50.082,14.282,20.38820551532886,111
49.347,9.134,49.353,9.144,57.110146888892785,64
29.938,75.81,29.995,75.809,62.7659269343244,7
48.06,12.571,48.079,12.567,42.698123610980865,36
39.749,16.456,39.866,16.532,108.4276312064142,14
54.779,-1.582,54.968,-1.616,97.49755192314224,1
46.583,14.75,46.599,14.715,96.26659847464065,132
52.222,6.89,52.262,6.794,67.3224175668153,245
52.931,13.261,52.943,13.213,41.818547286573754,8
50.078,13.193,50.085,13.16,33.55054604352401,53
52.968,-2.067,52.99,-2.137,64.01072997286849,82
47.218,15.274,47.22,15.29,36.229596504707246,34
48.223,11.099,48.236,11.063,90.65344497812434,2
22.518,88.301,22.524,88.272,92.52307138851089,56
19.041,82.308,19.062,82.239,46.056232638228224,2
50.04,16.913,50.059,16.924,52.456946350049705,29
48.454,-4.257,48.508,-2.765,112.30687724545609,1
48.388,9.948,48.395,9.955,11.148718010265414,40
50.662,17.926,51.098,17.038,121.8053586713978,13
58.461,6.005,58.523,6.097,47.84711309895949,10
23.178,75.782,23.211,75.861,44.54088942502971,6
53.689,15.635,53.772,15.766,108.96943321544308,32
52.991,13.348,52.995,13.345,26.46070049751279,25
11.446,75.694,11.472,75.653,78.79471649993877,4
48.262,10.988,48.353,10.943,90.90319991104069,1
17.25,80.139,17.326,80.161,75.31751045694537,4
22.359,85.756,22.412,85.768,50.956812694168946,6
47.384,13.468,47.418,13.22,54.54922379234329,9
48.99,1.703,49.449,1.094,98.97233634615205,13
47.352,7.907,47.366,7.904,23.067194232084113,13
46.84,7.618,46.881,7.622,54.375745446619916,52
50.377,14.869,50.407,14.887,54.84557209532289,148
51.377,-0.092,51.398,-0.075,39.94080557003105,36
48.69,6.174,48.877,2.359,191.34021616552423,17
48.128,11.604,48.134,11.617,35.81528887387542,153
45.098,7.686,45.192,7.642,26.305234347490526,2
53.791,-1.75,53.804,-1.681,35.79840354655551,1099
52.739,13.105,52.741,13.11,13.149969700247233,6
12.038,79.538,12.104,79.553,50.55345759180727,2
49.102,9.726,49.108,9.734,54.02674994797499,12
25.048,83.793,25.173,83.619,109.39675165028315,16
50.097,16.085,50.12,16.067,69.15277651017568,37
48.347,13.402,48.37,13.422,58.721780523045375,19
47.132,8.696,47.156,8.723,51.48159147329459,4
51.241,7.097,51.243,7.107,47.237946486629326,652
51.197,6.447,51.341,6.193,39.84193924482346,1
29.324,77.293,29.405,77.301,179.82019308182737,14
-33.712,150.311,-33.481,150.157,41.9428996997859,10
44.411,26.258,44.425,26.225,40.518511491679284,23
35.789,139.456,35.801,139.438,61.62514039254822,411
41.24,1.317,41.25,1.298,41.07323531655958,2
18.777,81.265,18.855,81.277,30.890012852980114,2
51.44,-0.105,51.454,-0.102,23.69673165440946,462
52.36,4.931,52.379,4.899,35.61859004098219,94
57.652,14.694,58.417,15.626,110.61889430679311,31
20.839,76.46,21.047,75.788,68.76069173705007,2
31.411,74.911,31.456,74.933,52.639734617630964,8
40.616,-74.771,40.637,-74.836,68.93996100830579,26
28.947,76.628,29.006,76.65,41.30792477033041,6
49.587,6.059,49.595,6.121,90.90010548523739,237
14.71,76.746,15.145,76.922,39.12757300756456,2
47.438,20.202,47.456,20.203,40.181709391324794,18
49.841,9.154,49.98,9.144,62.33575082252499,27
22.575,88.24,22.579,88.254,60.04536854445225,115
52.21,21.39,52.223,21.35,93.88160790927519,122
50.349,7.561,50.35,7.59,42.39716943249386,9
48.127,8.671,48.165,8.64,48.66284593155535,2
45.338,25.553,45.352,25.553,38.070864755929264,12
54.762,18.502,54.794,18.402,73.61585547452214,7
45.191,8.189,45.194,8.107,96.22268321061422,27
49.461,17.374,49.482,17.337,85.6502940767498,146
53.657,11.247,53.668,11.341,79.94389770475273,38
42.155,12.648,42.437,12.409,67.27599130605441,1
43.169,10.564,43.311,10.514,121.95912494791062,22
50.034,19.975,50.084,19.86,25.896342843761246,1
43.331,5.393,43.339,5.39,56.3782711301775,180
52.377,9.975,52.429,10.788,159.02151580401338,1
49.949,33.63,50.44,30.489,81.48031865701017,1
45.886,8.989,45.903,8.979,11.87510617373814,14
