network,resolution,city,fold,family,cpu_ms,wall_ms,gc_ms,compile_ms,rss_bytes,external_cores,workers,reused_workers,output_bytes,url
everything,6,Berlin,train,2,435.79500000004145,148.682755,0,0,20757397504,2.516801629454861,3,3,24026,/reachable?network=everything&index=861f1d48fffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=18&exclude_origin_population=true
everything,6,Berlin,train,3,5152.786999999989,1749.869074,0,0,20761886720,2.1071365023071604,3,3,6074,/reachable?network=everything&index=861f1d48fffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=10&exclude_origin_population=false&window_h=13.02&step_h=0.06&window_mode=min_union
everything,6,Berlin,train,3,28.908000000001266,6.042173,0,0,20761894912,3.49079711000742,1,1,610,/reachable?network=everything&index=861f1d48fffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=0&exclude_origin_population=true&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=max_intersection
everything,6,Vienna,train,0,31.204999999999927,9.539748000000001,0,0,20767551488,3.018423528907554,1,0,3442,/reachable?network=everything&index=861e15b47ffffff&departure_h=8&budget_h=0.5&max_walk_h=0.5&metric=time&encoding=split&distance_mode=itinerary
everything,6,Vienna,train,0,4.856999999958589,3.56452,0,0,20769447936,7.053684655432173,1,0,88570,/reachable?network=everything&index=861e15b47ffffff&departure_h=17&budget_h=3.0&max_walk_h=1.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,6,Vienna,train,1,87.29099999999335,33.657245,0,0,20814839808,3.3487292246718505,3,0,6666,/reachable?network=everything&index=861e15b47ffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=time&encoding=split&distance_mode=itinerary&window_h=1.6&step_h=0.016666666666666666&window_mode=max_intersection
everything,6,Vienna,train,1,256.2669999999798,135.414277,32.915257000000004,0,20875210752,2.3906858807400786,3,0,755330,/reachable?network=everything&index=861e15b47ffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=13.02&step_h=0.06&window_mode=diff_union
everything,6,Vienna,train,2,69.81499999994867,14.512005,0,0,20875210752,2.7690866885496646,3,3,6074,/reachable?network=everything&index=861e15b47ffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=10&exclude_origin_population=false
everything,6,Vienna,train,2,2.7729999999905885,0.925051,0,0,20875210752,0,1,1,610,/reachable?network=everything&index=861e15b47ffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=0&exclude_origin_population=true
everything,6,Vienna,train,3,1702.4670000000128,538.353867,0,0,20875563008,1.797206371558359,3,3,17186,/reachable?network=everything&index=861e15b47ffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=18&exclude_origin_population=false&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=max_intersection
everything,6,Vienna,train,3,2.908999999988282,0.834751,0,0,20875563008,0,1,1,810,/reachable?network=everything&index=861e15b47ffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=1&exclude_origin_population=true&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=diff_union
everything,6,rural,train,0,2.031999999985601,0.8976770000000001,0,0,20876890112,0,1,0,1202,/reachable?network=everything&index=861fb000fffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=time&encoding=split&distance_mode=itinerary
everything,6,rural,train,0,8.303000000012162,7.114699000000001,0,0,20876890112,1.6440611217163634,1,0,242266,/reachable?network=everything&index=861fb000fffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,6,rural,train,1,8.584999999982301,7.481126000000001,0,0,20878045184,0.18914262057613798,1,0,112914,/reachable?network=everything&index=861fb000fffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary&window_h=13.02&step_h=0.06&window_mode=diff_union
everything,6,rural,train,1,4.658000000006268,1.8169620000000002,0,0,20878045184,2.940072499758915,3,0,2018,/reachable?network=everything&index=861fb000fffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=diff_intersection
everything,6,rural,train,2,849.8569999999859,285.66830799999997,0,0,20878045184,3.0459906668123455,3,3,17210,/reachable?network=everything&index=861fb000fffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=18&exclude_origin_population=false
everything,6,rural,train,2,3.0809999999519277,0.881271,0,0,20878045184,0,1,1,674,/reachable?network=everything&index=861fb000fffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=1&exclude_origin_population=true
everything,6,rural,train,3,2.624000000025717,0.700176,0,0,20878045184,0,1,1,794,/reachable?network=everything&index=861fb000fffffff&departure_h=8&budget_h=0.0&max_walk_h=0.5&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=0&exclude_origin_population=false&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=diff_union
everything,6,rural,train,3,1.8239999999991596,1.184629,0,0,20878045184,0,1,1,810,/reachable?network=everything&index=861fb000fffffff&departure_h=17&budget_h=0.5&max_walk_h=1.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=2&exclude_origin_population=true&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=diff_intersection
everything,6,Munich,calibration,0,3.2350000000178625,2.015025,0,0,20878045184,0,1,0,59634,/reachable?network=everything&index=861f8d7a7ffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary
everything,6,Munich,calibration,0,1.721000000031836,1.410532,0,0,20878045184,0,1,0,962,/reachable?network=everything&index=861f8d7a7ffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=time&encoding=string&distance_mode=straight_line
everything,6,Munich,calibration,1,257.5640000000021,93.29619699999999,0,0,20882673664,3.563232055975296,3,0,630506,/reachable?network=everything&index=861f8d7a7ffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=diff_intersection
everything,6,Munich,calibration,1,27.608999999984007,7.011201,0,0,20884320256,7.472471560082473,2,0,5026,/reachable?network=everything&index=861f8d7a7ffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=time&encoding=string&distance_mode=straight_line&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=reachable_union
