city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error,relative_error
London,18,96,900000,3,mean_intersection,88194ad09dfffff,9.601189e6,1.1176346e7,1.575157e6,0.1640585348335503
London,18,96,900000,3,mean_intersection,88194ad0d7fffff,9.775779e6,1.1307995e7,1.532216e6,0.15673594912487282
London,18,96,900000,3,mean_intersection,88194ad2b1fffff,9.877947e6,1.1385987e7,1.50804e6,0.1526673508169258
London,18,96,900000,3,mean_intersection,88194ad2b3fffff,9.57604e6,1.106659e7,1.49055e6,0.15565411172050242
London,18,96,900000,3,mean_intersection,88194ad083fffff,9.812994e6,1.1251944e7,1.43895e6,0.14663720369135047
London,18,96,900000,3,mean_intersection,88194ad0b9fffff,9.717008e6,1.1122509e7,1.405501e6,0.1446433922870085
London,18,96,900000,3,mean_intersection,88194ad833fffff,9.928886e6,1.1316458e7,1.387572e6,0.1397510254423306
London,18,96,900000,3,mean_intersection,88194ad0d9fffff,9.811144e6,1.1169747e7,1.358603e6,0.13847549276618507
London,18,96,900000,3,mean_intersection,88194ad095fffff,9.784468e6,1.1122845e7,1.338377e6,0.13678587328406613
London,18,96,900000,3,reachable_union,88194e6917fffff,3.79709108645834e7,2.5511604364583366e7,-1.2459306500000037e7,-0.3281276697426082
London,18,96,900000,3,reachable_union,88194e693dfffff,3.840070784375004e7,2.6071496770833466e7,-1.2329211072916571e7,-0.3210672866521972
London,18,96,900000,3,reachable_union,88194ada55fffff,3.846886945833336e7,2.6861657375000093e7,-1.1607212083333265e7,-0.3017300026429251
London,18,96,900000,3,reachable_union,88194e693bfffff,3.675400506250008e7,2.5185558927083425e7,-1.1568446135416657e7,-0.3147533477166515
London,18,96,900000,3,reachable_union,88194e6931fffff,3.880904452083342e7,2.7310035708333466e7,-1.1499008812499952e7,-0.296297137805778
London,18,96,900000,3,reachable_union,88194ada41fffff,3.892436217708339e7,2.751217348958337e7,-1.1412188687500019e7,-0.293188842390818
London,18,96,900000,3,reachable_union,88195da5ddfffff,3.746215320833337e7,2.618377208333325e7,-1.1278381125000123e7,-0.30106067481703835
London,18,96,900000,3,reachable_union,88195da403fffff,3.832721351041674e7,2.713304296875006e7,-1.119417054166668e7,-0.29206846823404675
London,18,96,900000,3,reachable_union,88195da615fffff,3.659139092708338e7,2.555549180208328e7,-1.10358991250001e7,-0.30159824060778734
London,18,96,900000,3,reachable_union,88195da5c3fffff,3.628381947916666e7,2.5268324718749948e7,-1.1015494760416709e7,-0.3035924805750275
London,18,96,60000,3,mean_intersection,88194e6917fffff,3.7279e7,2.3765813e7,-1.3513187e7,-0.3624879154483758
London,18,96,60000,3,mean_intersection,88195da615fffff,3.6125934e7,2.2810692e7,-1.3315242e7,-0.3685784843652762
London,18,96,60000,3,mean_intersection,88194e6839fffff,3.4861952e7,2.2239491e7,-1.2622461e7,-0.3620698290216222
London,18,96,60000,3,mean_intersection,88194e6907fffff,3.5561031e7,2.3141244e7,-1.2419787e7,-0.3492527255466806
London,18,96,60000,3,mean_intersection,88194e6915fffff,3.5437477e7,2.3160226e7,-1.2277251e7,-0.34644822485528526
London,18,96,60000,3,mean_intersection,88194e692bfffff,3.6156723e7,2.3915571e7,-1.2241152e7,-0.33855811545753195
London,18,96,60000,3,mean_intersection,88195da5c3fffff,3.6432762e7,2.4229908e7,-1.2202854e7,-0.3349417757566665
London,18,96,60000,3,mean_intersection,88194e693dfffff,3.7215882e7,2.5162761e7,-1.2053121e7,-0.3238703572845593
London,18,96,60000,3,mean_intersection,88195da5ddfffff,3.7478947e7,2.5442316e7,-1.2036631e7,-0.3211571285607357
London,18,96,60000,3,mean_intersection,88194e6939fffff,3.5431076e7,2.3446743e7,-1.1984333e7,-0.33824355207276235
London,18,96,60000,3,reachable_union,88194e692bfffff,4.7073625625000134e7,3.0798430531249944e7,-1.627519509375019e7,-0.34573914538477074
London,18,96,60000,3,reachable_union,88194e693dfffff,4.8328245760416836e7,3.209192396875012e7,-1.6236321791666716e7,-0.3359592622533187
London,18,96,60000,3,reachable_union,88194ada47fffff,4.888295636458335e7,3.2658841999999933e7,-1.6224114364583418e7,-0.3318971594839567
London,18,96,60000,3,reachable_union,88194ada55fffff,4.832519590625e7,3.238344728124997e7,-1.594174862500003e7,-0.32988482148994763
London,18,96,60000,3,reachable_union,88194e6907fffff,4.594236687500011e7,3.0248827322916575e7,-1.5693539552083537e7,-0.3415918817326605
London,18,96,60000,3,reachable_union,88194e6915fffff,4.5573205885416746e7,3.0223796083333317e7,-1.5349409802083429e7,-0.3368077690359541
London,18,96,60000,3,reachable_union,88194e6917fffff,4.7924638822916836e7,3.258139327083339e7,-1.5343245552083444e7,-0.3201535980015886
London,18,96,60000,3,reachable_union,88195da691fffff,5.1675834968750276e7,3.640355458333348e7,-1.5272280385416798e7,-0.29554007970364377
London,18,96,60000,3,reachable_union,88195da5ddfffff,4.747309608333353e7,3.223352056250005e7,-1.5239575520833481e7,-0.3210149911874753
London,18,96,60000,3,reachable_union,88194e6963fffff,4.576363846875011e7,3.054699509374998e7,-1.521664337500013e7,-0.33250510414268913
London,6,180,60000,6,mean_intersection,88195da4a3fffff,1.02180422e8,5.8990442e7,-4.318998e7,-0.42268351563472695
London,6,180,60000,6,mean_intersection,88194ad161fffff,1.01837366e8,5.8880237e7,-4.2957129e7,-0.421820896271021
London,6,180,60000,6,mean_intersection,88194ada49fffff,1.0141655e8,5.8907742e7,-4.2508808e7,-0.4191506021453106
London,6,180,60000,6,mean_intersection,88194ada59fffff,1.0115487e8,5.8791467e7,-4.2363403e7,-0.41879746373061427
London,6,180,60000,6,mean_intersection,88194ad163fffff,1.00739611e8,5.8696702e7,-4.2042909e7,-0.4173423798509605
London,6,180,60000,6,mean_intersection,88194ad165fffff,1.00522535e8,5.8487336e7,-4.2035199e7,-0.4181669214768609
London,6,180,60000,6,mean_intersection,88194ada5dfffff,1.00355722e8,5.8815556e7,-4.1540166e7,-0.41392922269046106
London,6,180,60000,6,mean_intersection,88194ada4bfffff,1.00373372e8,5.8877912e7,-4.149546e7,-0.41341103893570497
London,6,180,60000,6,mean_intersection,88195da4b3fffff,1.00230995e8,5.9083887e7,-4.1147108e7,-0.4105227928745993
London,6,180,60000,6,mean_intersection,88194ada51fffff,9.8927397e7,5.8257009e7,-4.0670388e7,-0.411113495688156
London,6,180,60000,6,reachable_union,88194ada49fffff,1.2126608124999993e8,6.31373369888892e7,-5.812874426111072e7,-0.47934874832207675
London,6,180,60000,6,reachable_union,88194ada4bfffff,1.2042222658333325e8,6.2841908855555795e7,-5.758031772777746e7,-0.47815357149148346
London,6,180,60000,6,reachable_union,88194ad165fffff,1.2009936566666642e8,6.293244773888922e7,-5.71669179277772e7,-0.4759968348745732
London,6,180,60000,6,reachable_union,88194ada5dfffff,1.195770827055554e8,6.28173168944447e7,-5.67597658111107e7,-0.4746709363271137
London,6,180,60000,6,reachable_union,88195da4b7fffff,1.1921719428888884e8,6.3079965911111355e7,-5.613722837777749e7,-0.47088197900166096
London,6,180,60000,6,reachable_union,88194ada53fffff,1.1721251294444439e8,6.139381921111123e7,-5.5818693733333156e7,-0.47621787410862637
London,6,180,60000,6,reachable_union,88194ada51fffff,1.1811556654444434e8,6.244927443333364e7,-5.5666292111110695e7,-0.4712866706706662
London,6,180,60000,6,reachable_union,88194ada59fffff,1.2058933321111101e8,7.544029173333365e7,-4.514904147777736e7,-0.37440327660438016
London,6,180,60000,6,reachable_union,88195da4a3fffff,1.2134369455555548e8,8.21860389277779e7,-3.915765562777758e7,-0.32270037410019525
London,6,180,60000,6,reachable_union,88194ad161fffff,1.2146074345555538e8,9.223530639444423e7,-2.9225437061111152e7,-0.24061631955846913
London,6,180,60000,12,mean_intersection,88194ada51fffff,2.44758051e8,1.12752684e8,-1.32005367e8,-0.5393300300466929
London,6,180,60000,12,mean_intersection,88194ada53fffff,2.44460487e8,1.13194656e8,-1.31265831e8,-0.5369613413230253
London,6,180,60000,12,mean_intersection,88194ada4bfffff,2.46569709e8,1.15610301e8,-1.30959408e8,-0.5311252891976281
London,6,180,60000,12,mean_intersection,88194ada49fffff,2.46941043e8,1.16179816e8,-1.30761227e8,-0.5295240734850221
London,6,180,60000,12,mean_intersection,88194ada5dfffff,2.4586843e8,1.1517842e8,-1.3069001e8,-0.5315444931258559
London,6,180,60000,12,mean_intersection,88194ada59fffff,2.46391852e8,1.1612195e8,-1.30269902e8,-0.5287102675781665
London,6,180,60000,12,mean_intersection,88194ad165fffff,2.46158292e8,1.16188668e8,-1.29969624e8,-0.5279920613033828
London,6,180,60000,12,mean_intersection,88195da4b7fffff,2.45613916e8,1.16191317e8,-1.29422599e8,-0.526935122845401
London,6,180,60000,12,mean_intersection,88194ad161fffff,2.46949342e8,1.3526895e8,-1.11680392e8,-0.45224008736172294
London,6,180,60000,12,mean_intersection,88195da4a3fffff,2.46863467e8,1.3848917e8,-1.08374297e8,-0.4390050027126938
London,6,180,60000,12,reachable_union,88194ada53fffff,2.6306696082777762e8,1.5176239991666603e8,-1.113045609111116e8,-0.42310353440384896
London,6,180,60000,12,reachable_union,88194ada51fffff,2.6340458908333328e8,1.5326451979444408e8,-1.101400692888892e8,-0.4181402824916015
London,6,180,60000,12,reachable_union,88194ada4bfffff,2.6476254163888872e8,1.5585804927222198e8,-1.0890449236666673e8,-0.4113289277725784
London,6,180,60000,12,reachable_union,88194ada5dfffff,2.6419057445555547e8,1.553730481444438e8,-1.0881752631111166e8,-0.411890267226085
London,6,180,60000,12,reachable_union,88194ada49fffff,2.651096793888886e8,1.5686108714444414e8,-1.0824859224444446e8,-0.40831625798790594
London,6,180,60000,12,reachable_union,88194ad165fffff,2.645043150944446e8,1.5663800079444402e8,-1.0786631430000058e8,-0.4078054993601354
London,6,180,60000,12,reachable_union,88195da4b7fffff,2.6409146873333323e8,1.568413148888884e8,-1.0725015384444484e8,-0.4061098768500578
London,6,180,60000,12,reachable_union,88194ada59fffff,2.64700194272222e8,1.859284427333318e8,-7.877175153889021e7,-0.2975885671541293
London,6,180,60000,12,reachable_union,88195da4a3fffff,2.6500448203333297e8,2.102269186611097e8,-5.477756337222329e7,-0.20670429025171438
London,6,180,60000,12,reachable_union,88195da4b3fffff,2.6435200478333306e8,2.2419511901111025e8,-4.015688577222282e7,-0.15190687055744484
