city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error
Paris,6,4,60000,3,reachable_union,881fb46665fffff,2.871560975e7,2.509685575e7,-3.618754e6
Paris,6,4,60000,3,reachable_union,881fb46667fffff,2.84744675e7,2.824387775e7,-230589.75
Paris,6,4,60000,3,reachable_union,881fb46669fffff,2.871560675e7,2.733864275e7,-1.376964e6
Paris,6,4,60000,3,reachable_union,881fb4666bfffff,3.027424575e7,2.788587e7,-2.38837575e6
Paris,6,4,60000,3,reachable_union,881fb4666dfffff,2.847446675e7,2.548754275e7,-2.986924e6
Paris,6,4,60000,3,reachable_union,881fb466e5fffff,2.7925468e7,1.988521225e7,-8.04025575e6
Paris,6,4,60000,3,reachable_union,881fb466edfffff,2.7925468e7,2.218715275e7,-5.73831525e6
Paris,6,4,60000,3,reachable_union,881fb46701fffff,2.7986992e7,2.580898175e7,-2.17801025e6
Paris,6,4,60000,3,reachable_union,881fb46703fffff,2.788425075e7,2.5734285e7,-2.14996575e6
Paris,6,4,60000,3,reachable_union,881fb46705fffff,2.775468225e7,2.50867665e7,-2.66791575e6
Paris,6,4,60000,3,reachable_union,881fb46707fffff,2.77549725e7,2.5074822e7,-2.6801505e6
Paris,6,4,60000,3,reachable_union,881fb46709fffff,2.778073125e7,2.561932375e7,-2.1614075e6
Paris,6,4,60000,3,reachable_union,881fb4670bfffff,2.8126087e7,2.5314213e7,-2.811874e6
Paris,6,4,60000,3,reachable_union,881fb4670dfffff,2.788068325e7,2.57354325e7,-2.14525075e6
Paris,6,4,60000,3,reachable_union,881fb46711fffff,2.774650675e7,2.494394925e7,-2.8025575e6
Paris,6,4,60000,3,reachable_union,881fb46713fffff,2.804181125e7,2.44782845e7,-3.56352675e6
Paris,6,4,60000,3,reachable_union,881fb46715fffff,2.7763163e7,2.50576655e7,-2.7054975e6
Paris,6,4,60000,3,reachable_union,881fb46717fffff,2.7751021e7,2.0146565e7,-7.604456e6
Paris,6,4,60000,3,reachable_union,881fb46719fffff,2.80149605e7,2.588837475e7,-2.12658575e6
Paris,6,4,60000,3,reachable_union,881fb4671bfffff,2.82398805e7,2.37812125e7,-4.458668e6
Paris,6,4,60000,3,reachable_union,881fb4671dfffff,2.77649185e7,2.524387525e7,-2.52104325e6
Paris,6,4,60000,3,reachable_union,881fb46721fffff,2.767591725e7,2.4871177e7,-2.80474025e6
Paris,6,4,60000,3,reachable_union,881fb46723fffff,2.77384135e7,2.5365022e7,-2.3733915e6
Paris,6,4,60000,3,reachable_union,881fb46729fffff,2.76957265e7,2.49045805e7,-2.791146e6
Paris,6,4,60000,3,reachable_union,881fb4672bfffff,2.7629408e7,2.487704925e7,-2.75235875e6
Paris,6,4,60000,3,reachable_union,881fb46731fffff,2.7712525e7,2.5357136e7,-2.355389e6
Paris,6,4,60000,3,reachable_union,881fb46733fffff,2.773074325e7,2.135832225e7,-6.372421e6
Paris,6,4,60000,3,reachable_union,881fb46735fffff,2.77546095e7,2.555637775e7,-2.19823175e6
Paris,6,4,60000,3,reachable_union,881fb46737fffff,2.7675678e7,2.4542405e7,-3.133273e6
Paris,6,4,60000,3,reachable_union,881fb46739fffff,2.777123225e7,2.549105675e7,-2.2801755e6
Paris,6,4,60000,3,reachable_union,881fb4673bfffff,2.775022925e7,2.481113525e7,-2.939094e6
Paris,6,4,60000,3,reachable_union,881fb4673dfffff,2.776752e7,2.5657907e7,-2.109613e6
Paris,6,4,60000,3,reachable_union,881fb46741fffff,2.7759088e7,2.47011585e7,-3.0579295e6
Paris,6,4,60000,3,reachable_union,881fb46743fffff,2.7769961e7,2.509735175e7,-2.67260925e6
Paris,6,4,60000,3,reachable_union,881fb46745fffff,2.775714225e7,2.501941375e7,-2.7377285e6
Paris,6,4,60000,3,reachable_union,881fb46747fffff,2.7769847e7,2.5202097e7,-2.56775e6
Paris,6,4,60000,3,reachable_union,881fb46749fffff,2.77246665e7,2.441613375e7,-3.30853275e6
Paris,6,4,60000,3,reachable_union,881fb4674bfffff,2.7751028e7,2.36683175e7,-4.0827105e6
Paris,6,4,60000,3,reachable_union,881fb4674dfffff,2.773722525e7,2.430120575e7,-3.4360195e6
Paris,6,4,60000,3,reachable_union,881fb46751fffff,2.799892075e7,2.428263075e7,-3.71629e6
Paris,6,4,60000,3,reachable_union,881fb46753fffff,2.82501215e7,2.46291045e7,-3.621017e6
Paris,6,4,60000,3,reachable_union,881fb46755fffff,2.77649185e7,2.4827054e7,-2.9378645e6
Paris,6,4,60000,3,reachable_union,881fb46757fffff,2.80149605e7,2.54167595e7,-2.598201e6
Paris,6,4,60000,3,reachable_union,881fb46759fffff,2.823400475e7,2.49624225e7,-3.27158225e6
Paris,6,4,60000,3,reachable_union,881fb4675bfffff,2.847446825e7,2.5567437e7,-2.90703125e6
Paris,6,4,60000,3,reachable_union,881fb4675dfffff,2.77568585e7,2.45747335e7,-3.182125e6
Paris,6,4,60000,3,reachable_union,881fb46763fffff,2.77389905e7,2.550045675e7,-2.23853375e6
Paris,6,4,60000,3,reachable_union,881fb4676bfffff,2.7755873e7,2.5074822e7,-2.681051e6
Paris,6,4,60000,3,reachable_union,881fb47591fffff,2.762644775e7,2.28629585e7,-4.76348925e6
Paris,6,4,60000,3,reachable_union,881fb47593fffff,2.7946895e7,2.675470275e7,-1.19219225e6
Paris,6,4,60000,3,reachable_union,881fb47595fffff,2.797043775e7,2.270366e7,-5.26677775e6
Paris,6,4,60000,3,reachable_union,881fb47597fffff,2.823106525e7,2.443545e7,-3.79561525e6
Paris,6,4,60000,3,reachable_union,881fb4759bfffff,2.7865165e7,2.663486775e7,-1.23029725e6
Paris,6,4,60000,3,reachable_union,881fb475a3fffff,2.821645375e7,2.4717212e7,-3.49924175e6
Paris,6,4,60000,3,reachable_union,881fb475a7fffff,2.794605975e7,2.437408675e7,-3.571973e6
Paris,6,4,60000,3,reachable_union,881fb475b1fffff,2.774009825e7,2.345112325e7,-4.288975e6
Paris,6,4,60000,3,reachable_union,881fb475b3fffff,2.84744685e7,2.474258675e7,-3.73188175e6
Paris,6,4,60000,3,reachable_union,881fb475b5fffff,2.772837775e7,2.310576975e7,-4.622608e6
Paris,6,4,60000,3,reachable_union,881fb475b7fffff,2.774297125e7,2.4089012e7,-3.65395925e6
Paris,6,4,60000,3,reachable_union,881fb475b9fffff,2.7725504e7,2.317281325e7,-4.55269075e6
Paris,6,4,60000,3,reachable_union,881fb475bbfffff,2.798792525e7,2.432621525e7,-3.66171e6
Paris,6,4,60000,3,reachable_union,881fb475bdfffff,2.772550475e7,2.3666212e7,-4.05929275e6
Paris,18,96,900000,3,mean_intersection,881fb09141fffff,1.06105e7,1.0273242e7,-337258.0
Paris,18,96,900000,3,mean_intersection,881fb09143fffff,1.028485e7,1.0113152e7,-171698.0
Paris,18,96,900000,3,mean_intersection,881fb09145fffff,1.063486e7,1.0376176e7,-258684.0
Paris,18,96,900000,3,mean_intersection,881fb09147fffff,1.0404756e7,1.0194174e7,-210582.0
Paris,18,96,900000,3,mean_intersection,881fb09149fffff,1.046554e7,1.035546e7,-110080.0
Paris,18,96,900000,3,mean_intersection,881fb0914bfffff,1.0457031e7,1.0161899e7,-295132.0
Paris,18,96,900000,3,mean_intersection,881fb0914dfffff,1.0675231e7,1.0518627e7,-156604.0
